	APF0M0R1	APF4M1R1	APF4M1R2	APF4M1R3	APF4M3R1	APF4M3R2	APF4M3R3	APF4M6R1	APF4M6R2	APF4M6R3	APF1M1R1	APF1M1R2	APF1M1R3	APF1M3R1	APF1M3R2	APF1M3R3	APF1M6R1	APF1M6R3	APF2M1R1	APF2M1R2	APF2M1R3	APF2M3R1	APF2M3R2	APF2M3R3	APF2M6R1	APF2M6R2	APF2M6R3	APF5M1R1	APF5M1R2	APF5M1R3	APF5M3R1	APF5M3R2	APF5M3R3	APF5M6R1	APF5M6R2	APF6M6R1	APF6M1R1	APF6M1R2	APF6M1R3	APF6M3R1	APF6M3R2	APF6M3R3	APF6M6R2	APF6M6R3
OTU25	6	101	343	357	444	419	50	4	11	30	2834	829	251	185	258	229	50	117	615	702	327	1	157	1977	0	1475	0	1037	1796	782	1123	1416	323	3	621	240	590	1054	1079	898	1595	1011	1255	56
OTU14	223	492	623	844	726	397	351	18	44	149	1352	1745	3206	2306	1775	3071	666	1441	3036	1630	791	1882	1790	11819	5164	10747	2392	600	669	2135	4567	2585	3286	12499	11	10327	2722	3069	3463	9210	1401	27797	377	1434
OTU125	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU232	34	708	359	327	270	28	10	47	27	298	10	1	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	70	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	97
OTU1380	0	0	58	0	0	45	0	0	3	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1385	0	0	0	17	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1391	0	1	102	0	0	0	7	0	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU246	2896	2989	2822	2707	3002	3106	2701	1074	884	2738	0	27	1	151	0	2	134	0	0	0	134	101	0	0	576	1110	237	0	0	10	1	72	0	0	0	0	0	54	155	0	7	201	145	430
OTU300	1097	355	897	476	2557	1876	2380	315	268	728	0	0	0	0	0	1	165	0	0	0	0	19	716	445	0	0	0	0	1	16	0	0	0	0	124	149	0	0	0	675	0	128	33	204
OTU323	872	637	623	907	667	914	689	315	269	701	0	0	0	0	0	0	66	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	113	0	0	0	0	51	0	134	0
