	CHF0M0R1	CHF4M1R1	CHF4M3R1	CHF4M3R2	CHF4M3R3	CHF4M6R1	CHF4M6R2	CHF4M6R3	CHF1M1R1	CHF1M3R1	CHF1M3R2	CHF1M3R3	CHF1M6R1	CHF1M6R2	CHF1M6R3	CHF2M1R1	CHF2M3R1	CHF2M3R2	CHF2M3R3	CHF2M6R1	CHF2M6R2	CHF2M6R3	CHF5M3R1	CHF5M3R2	CHF5M3R3	CHF5M6R1	CHF5M6R2	CHF5M6R3	CHF6M1R1	CHF6M3R1	CHF6M3R2	CHF6M3R3	CHF6M6R1	CHF6M6R2	CHF6M6R3
OTU445	13	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU465	438	24	0	0	1	93	181	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU67	326	105	590	0	411	723	746	1150	1	0	0	1	0	0	115	123	1	0	0	0	75	6	0	0	0	9	0	0	0	0	0	8	0	43	0
OTU776	0	0	47	0	0	36	135	49	0	0	0	0	0	109	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU854	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU86	9237	2346	4659	440	2576	6346	5150	5934	5	3	3	8	3	5	7	26	1	3	3	1	3	382	2	0	192	3	1	2	1	3	2	161	4	3	1
OTU248	115	74	14	0	57	1	121	93	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0
OTU277	880	311	109	0	167	81	296	376	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0
OTU975	36	53	0	0	0	51	62	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU309	121	0	77	1	163	78	191	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU510	69	132	114	0	19	272	59	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU571	3	0	69	0	79	129	54	59	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU95	3085	1894	351	1	48	893	842	970	2	3	0	3	2	3	243	107	2	0	2	1	2	3	4	1	2	1	1	0	1	1	3	1	0	1	4
OTU976	100	69	5	0	0	262	87	183	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1206	0	261	67	0	0	138	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1307	0	0	127	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU228	492	378	0	0	119	156	123	402	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
